epoch,accuracy,loss,val_accuracy,val_loss
0,0.3692222535610199,1.327767014503479,0.46685880422592163,1.2696977853775024
1,0.6573484539985657,0.9753993153572083,0.6426513195037842,0.91683429479599
2,0.7946305274963379,0.5831738114356995,0.7348703145980835,0.7600457072257996
3,0.8411292433738708,0.42750999331474304,0.6974063515663147,0.7818127870559692
4,0.8768336772918701,0.3418866991996765,0.7060518860816956,0.7811576724052429
5,0.9022972583770752,0.27861684560775757,0.7031700015068054,0.8065372705459595
6,0.9202878475189209,0.2354976087808609,0.6685879230499268,0.882066011428833
7,0.9341267347335815,0.19854269921779633,0.6570605039596558,0.9618533849716187
8,0.9432604312896729,0.16847218573093414,0.680115282535553,1.000922679901123
9,0.9559922218322754,0.14395339787006378,0.6714697480201721,1.0766584873199463
10,0.9615278244018555,0.12638762593269348,0.6743515729904175,1.1217591762542725
11,0.9667866230010986,0.11256922781467438,0.680115282535553,1.1190448999404907
12,0.9684472680091858,0.10748829692602158,0.6858789920806885,1.225351095199585
13,0.9706615209579468,0.09636539220809937,0.6685879230499268,1.313690423965454
14,0.973429262638092,0.08799263834953308,0.6714697480201721,1.316523551940918
15,0.972875714302063,0.08603214472532272,0.6772334575653076,1.3417564630508423
16,0.9753667116165161,0.08086422830820084,0.6772334575653076,1.4117975234985352
17,0.9759202599525452,0.07499472051858902,0.6772334575653076,1.4388426542282104
18,0.9759202599525452,0.0752832368016243,0.6657060384750366,1.4407093524932861
19,0.9748131632804871,0.07541985809803009,0.6714697480201721,1.4350152015686035
20,0.9781345129013062,0.06623982638120651,0.6714697480201721,1.4941343069076538
21,0.9784113168716431,0.06450771540403366,0.6628242135047913,1.5588641166687012
22,0.9778577089309692,0.06655744463205338,0.6657060384750366,1.574412226676941
23,0.9784113168716431,0.06475739181041718,0.6628242135047913,1.582041621208191
24,0.9800719618797302,0.05604325607419014,0.6743515729904175,1.6540495157241821
